,X09_3N_N_C_1,X09_6N_N_C_1,X09_19N_N_C_1,X09_23N_N_C_1,X09_9N_N_C_2,X09_12N_N_C_2,X09_14N_N_C_2,X09_17N_N_C_2,X10_3N_N_N_1,X10_6N_N_N_1,X10_19N_N_N_1,X10_23N_N_N_1,X10_9N_N_N_2,X10_12N_N_N_2,X10_14N_N_N_2,X10_17N_N_N_2,X11_3N_N_N_1,X11_6N_N_N_1,X11_19N_N_N_1,X11_23N_N_N_1,X11_9N_N_N_2,X11_12N_N_N_2,X11_14N_N_N_2,X11_17N_N_N_2,X12_3N_N_N_1,X12_6N_N_N_1,X12_19N_N_N_1,X12_23N_N_N_1,X12_9N_N_N_2,X12_12N_N_N_2,X12_14N_N_N_2,X12_17N_N_N_2,X13_3N_N_N_1,X13_6N_N_N_1,X13_19N_N_N_1,X13_23N_N_N_1,X13_9N_N_N_2,X13_12N_N_N_2,X13_14N_N_N_2,X13_17N_N_N_2,X14_3N_N_N_1,X14_6N_N_N_1,X14_19N_N_N_1,X14_23N_N_N_1,X14_9N_N_N_2,X14_12N_N_N_2,X14_14N_N_N_2,X14_17N_N_N_2,X15_3N_N_N_1,X15_6N_N_N_1,X15_19N_N_N_1,X15_23N_N_N_1,X15_9N_N_N_2,X15_12N_N_N_2,X15_14N_N_N_2,X15_17N_N_N_2,X16_3N_N_N_1,X16_6N_N_N_1,X16_19N_N_N_1,X16_23N_N_N_1,X16_9N_N_N_2,X16_12N_N_N_2,X16_14N_N_N_2,X16_17N_N_N_2,Phylum,Taxa
OTU1,62,72,122,74,153,126,217,264,115,104,160,78,60,311,135,284,427,1846,72,999,348,225,277,121,170,160,78,263,175,172,1728,386,30,66,74,112,10,16,0,162,23,19,22,2,259,31,139,18,15,45,81,16,71,28,85,104,117,459,138,25,101,250,34,49,Ascomycota,Ascomycota
OTU10,37,55,109,100,75,77,99,162,35,59,565,111,54,87,80,146,43,39,5,22,50,44,26,10,113,76,34,111,88,56,1994,214,32,39,467,104,14,36,1,290,15,9,48,4,77,15,143,15,56,105,187,112,17,20,37,28,8,93,12,2,9,17,5,5,Ascomycota,Ascomycota
OTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1000,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,Ascomycota,Ascomycota
OTU1001,0,3,10,0,1,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zygomycota,Zygomycota
OTU1002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,unclassified,Others
OTU1004,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,6,0,Basidiomycota,Basidiomycota
OTU1005,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,Ascomycota,Ascomycota
OTU1007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,Basidiomycota,Basidiomycota
OTU1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU101,10,42,34,14,42,61,20,13,8,24,21,9,3,2,8,2,3,2,22,6,30,23,6,17,7,0,25,3,4,19,1,1,14,37,6,1,29,21,15,2,22,20,15,51,19,8,3,21,2,2,0,38,5,1,7,22,16,2,18,6,12,7,52,10,Ascomycota,Ascomycota
OTU1010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,Ascomycota,Ascomycota
OTU1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Zygomycota,Zygomycota
OTU1014,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,2,0,3,0,0,3,0,0,0,0,0,0,1,9,0,1,1,0,4,2,20,0,unclassified,Others
OTU1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1016,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Ascomycota,Ascomycota
OTU1017,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Basidiomycota,Basidiomycota
OTU1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU102,7,11,38,4,17,4,13,10,0,13,4,6,3,0,3,0,4,0,40,20,17,1,25,1,12,2,18,4,2,0,1,0,27,184,8,1,40,1,12,1,16,8,59,3,10,24,4,12,3,5,0,17,0,3,6,5,11,24,45,2,3,3,22,5,Ascomycota,Ascomycota
OTU1020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,0,2,1,0,0,8,0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,0,Basidiomycota,Basidiomycota
OTU1021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,unclassified,Others
OTU1022,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Zygomycota,Zygomycota
OTU1023,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Basidiomycota,Basidiomycota
OTU1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Ascomycota,Ascomycota
OTU1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,Basidiomycota,Basidiomycota
OTU1027,0,2,4,4,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Glomeromycota,Glomeromycota
OTU1028,0,0,0,4,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ascomycota,Ascomycota
OTU1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Ascomycota,Ascomycota
OTU103,5,2,24,4,21,13,1,8,1,11,8,1,0,1,1,1,24,0,42,22,9,12,7,7,35,3,124,3,1,2,0,2,20,36,14,5,107,34,8,6,48,27,16,2,23,80,7,59,3,4,109,47,4,1,3,18,35,12,73,23,10,5,2,1,Ascomycota,Ascomycota
OTU1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0,2,0,0,0,0,2,0,0,0,0,1,0,Ascomycota,Ascomycota
OTU1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,Ascomycota,Ascomycota
OTU1033,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1034,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1037,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,0,1,0,0,0,Ascomycota,Ascomycota
OTU1038,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,3,0,0,1,0,0,0,unclassified,Others
OTU1039,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU104,3,0,2,0,17,6,4,574,2,0,5,1,0,0,929,1,1,0,0,0,5,0,1,0,0,0,0,0,0,3,0,0,0,1,1497,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,15,1,0,4,44,0,1,0,2,1,1,3,0,Ascomycota,Ascomycota
OTU1040,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU1041,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,67,0,1,0,0,3,1,0,4,0,0,0,1,0,Glomeromycota,Glomeromycota
OTU1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1043,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1044,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,Basidiomycota,Basidiomycota
OTU1045,1,0,0,1,1,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,4,1,0,1,Ascomycota,Ascomycota
OTU1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,Basidiomycota,Basidiomycota
OTU1048,25,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1049,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU105,0,0,3,0,1,0,9,1,0,0,158,0,0,0,0,1,1,0,920,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Ascomycota,Ascomycota
OTU1050,0,0,0,1,3,0,0,3,1,0,4,4,0,0,0,0,1,0,11,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,1,1,0,7,0,0,0,4,0,unclassified,Others
OTU1051,0,0,1,2,0,1,0,2,0,0,0,2,0,0,3,2,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,3,2,5,0,4,3,0,12,13,0,0,Basidiomycota,Basidiomycota
OTU1052,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,Ascomycota,Ascomycota
OTU1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,22,4,3,0,0,0,6,0,0,0,0,1,0,0,0,Ascomycota,Ascomycota
OTU1054,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,3,0,0,0,0,4,0,0,0,0,0,0,1,19,0,0,0,0,0,1,0,0,1,0,0,0,0,Glomeromycota,Glomeromycota
OTU1055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,6,0,0,0,1,0,Glomeromycota,Glomeromycota
OTU1056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,Basidiomycota,Basidiomycota
OTU1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Ascomycota,Ascomycota
OTU1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Basidiomycota,Basidiomycota
OTU1059,0,0,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,2,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,Glomeromycota,Glomeromycota
OTU106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,Basidiomycota,Basidiomycota
OTU1060,0,1,1,6,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,Ascomycota,Ascomycota
OTU1061,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,4,0,1,0,1,0,Ascomycota,Ascomycota
OTU1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1063,0,0,1,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Glomeromycota,Glomeromycota
OTU1064,0,2,0,0,1,2,0,0,0,0,29,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1065,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,4,3,1,0,1,0,0,Basidiomycota,Basidiomycota
OTU1067,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0,0,1,1,0,4,0,0,0,0,0,0,unclassified,Others
OTU1068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
OTU1069,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,Ascomycota,Ascomycota
OTU107,5,5,14,60,15,14,15,9,0,3,2,5,2,4,3,2,6,2,26,68,10,18,1,11,6,1,1,1,5,2,0,22,17,17,2,1,20,6,6,15,14,2,11,6,5,6,1,63,2,1,2,62,0,0,0,8,5,2,0,2,0,4,10,0,Ascomycota,Ascomycota
OTU1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ascomycota,Ascomycota
OTU1071,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Ascomycota,Ascomycota
OTU1072,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chytridiomycota,Chytridiomycota
OTU1073,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,1,0,4,0,0,1,0,0,Glomeromycota,Glomeromycota
OTU1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,3,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,Glomeromycota,Glomeromycota
OTU1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chytridiomycota,Chytridiomycota
OTU1077,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,1,0,1,0,0,Basidiomycota,Basidiomycota
OTU1078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,33,0,0,0,0,0,Ascomycota,Ascomycota
OTU1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,3,0,unclassified,Others
OTU108,0,4,8,13,13,8,12,10,1,3,7,3,2,3,2,2,13,4,46,18,12,8,16,6,5,1,27,6,3,2,0,1,49,15,2,7,24,21,7,2,33,25,78,4,13,24,4,70,3,12,1,12,7,0,2,16,498,15,11,7,65,2,57,9,Ascomycota,Ascomycota
OTU1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,unclassified,Others
OTU1082,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,1,3,1,0,0,0,3,2,0,Ascomycota,Ascomycota
OTU1083,1,0,1,1,0,3,5,0,1,0,1,0,0,2,2,0,13,0,1,1,0,4,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Ascomycota,Ascomycota
